player,position,team,projected_points,avg_ppg_3yr,adp,adp_stdev,times_drafted,bye,ppg_trend,points_2025,games_2025,points_2024,games_2024,points_2023,games_2023
Joshua Dobbs,QB,MIN,135.6,7.98,,,,,-14.91,2.1,4,30.8,2,200.7,13
Tommy DeVito,QB,NYG,135.3,7.96,,,,,-10.39,0.0,0,13.5,2,93.5,9
Calvin Ridley,WR,JAX,134.8,7.93,134.6,20.6,13,9,-5.75,38.8,7,167.2,17,191.9,17
Jerry Jeudy,WR,DEN,133.5,7.85,127.8,7.8,15,11,-1.55,95.7,17,195.9,17,114.8,16
Tanner McKee,QB,PHI,133.1,7.83,,,,,3.44,13.8,4,28.8,2,0.0,0
Aidan O'Connell,QB,LV,131.9,7.76,,,,,-6.66,4.8,1,93.5,9,125.8,11
Xavier Worthy,WR,KC,131.8,7.75,95.1,9.2,62,5,6.35,88.9,14,157.7,16,0.0,0
Austin Ekeler,RB,LAC,131.6,7.74,,,,,-6.12,10.6,2,114.8,12,159.9,14
Isiah Pacheco,RB,KC,130.9,7.7,,,,,-7.72,77.8,13,50.9,7,191.9,14
Diontae Johnson,WR,PIT,130.2,7.66,,,,,-9.78,0.0,0,72.6,11,127.2,13
Jadarian Price,RB,SEA,130.0,0.0,56.2,7.5,165,11,0.0,0.0,0,0.0,0,0.0,0
Dalton Kincaid,TE,BUF,130.0,7.65,145.2,18.0,41,7,1.77,106.6,12,78.8,13,113.8,16
Zach Ertz,TE,ARI,129.9,7.64,,,,,2.34,101.4,13,144.4,17,38.2,7
Theo Wease Jr.,WR,MIA,129.8,7.63,,,,,7.63,22.9,3,0.0,0,0.0,0
Ricky Pearsall,WR,SF,128.2,7.54,,,,,7.84,70.6,9,78.0,11,0.0,0
Jake Browning,QB,CIN,127.6,7.51,,,,,-6.25,48.7,5,-0.2,2,143.9,9
Jake Ferguson,TE,DAL,127.5,7.5,146.5,28.4,27,14,0.32,147.1,17,74.9,14,141.6,17
Parker Washington,WR,JAX,126.6,7.44,62.9,6.6,281,7,5.83,155.7,16,81.0,14,31.2,8
Tyrell Shavers,WR,BUF,126.4,7.43,,,,,3.45,38.0,11,13.4,1,0.0,0
Tyjae Spears,RB,TEN,126.2,7.42,144.6,10.1,7,9,-0.66,89.2,13,98.6,12,127.8,17
